频道名|省份|地级市|频道分组
安徽导视|安徽省|合肥|☘️安徽频道,#genre#
安徽国际|安徽省|合肥|☘️安徽频道,#genre#
安徽卫视|安徽省|合肥|☘️安徽频道,#genre#
安徽影视|安徽省|合肥|☘️安徽频道,#genre#
安徽综艺体育|安徽省|合肥|☘️安徽频道,#genre#
亳州农村|安徽省|亳州|☘️安徽频道,#genre#
亳州新闻|安徽省|亳州|☘️安徽频道,#genre#
滁州公共|安徽省|滁州|☘️安徽频道,#genre#
滁州科教|安徽省|滁州|☘️安徽频道,#genre#
滁州新闻综合|安徽省|滁州|☘️安徽频道,#genre#
黄山公共生活|安徽省|黄山|☘️安徽频道,#genre#
黄山新闻综合|安徽省|黄山|☘️安徽频道,#genre#
六安公共|安徽省|六安|☘️安徽频道,#genre#
六安新闻综合|安徽省|六安|☘️安徽频道,#genre#
祁门综合|安徽省|黄山|☘️安徽频道,#genre#
宿州新闻综合|安徽省|宿州|☘️安徽频道,#genre#
铜陵新闻综合|安徽省|铜陵|☘️安徽频道,#genre#
北京财经|北京市|北京|☘️北京频道,#genre#
北京卡酷少儿|北京市|北京|☘️北京频道,#genre#
北京生活|北京市|北京|☘️北京频道,#genre#
北京卫视|北京市|北京|☘️北京频道,#genre#
北京卫视-4k|北京市|北京|☘️北京频道,#genre#
北京新闻|北京市|北京|☘️北京频道,#genre#
清华大学电视台|北京市|北京|☘️北京频道,#genre#
FZTV1|福建省|福州|☘️福建频道,#genre#
FZTV3|福建省|福州|☘️福建频道,#genre#
东南卫视|福建省|福州|☘️福建频道,#genre#
福建海峡卫视|福建省|福州|☘️福建频道,#genre#
福建经济|福建省|福州|☘️福建频道,#genre#
福建旅游|福建省|福州|☘️福建频道,#genre#
福建文体|福建省|福州|☘️福建频道,#genre#
福建新闻|福建省|福州|☘️福建频道,#genre#
福州少儿|福建省|福州|☘️福建频道,#genre#
三明新闻综合|福建省|三明|☘️福建频道,#genre#
厦门卫视|福建省|厦门|☘️福建频道,#genre#
云霄综合|福建省|漳州|☘️福建频道,#genre#
甘肃都市|甘肃省|兰州|☘️甘肃频道,#genre#
甘肃经济|甘肃省|兰州|☘️甘肃频道,#genre#
甘肃少儿|甘肃省|兰州|☘️甘肃频道,#genre#
甘肃卫视|甘肃省|兰州|☘️甘肃频道,#genre#
酒泉综合|甘肃省|酒泉|☘️甘肃频道,#genre#
潮州民生|广东省|潮州|☘️广东频道,#genre#
潮州综合|广东省|潮州|☘️广东频道,#genre#
大湾区卫视|广东省|广州|☘️广东频道,#genre#
东莞生活资讯|广东省|东莞|☘️广东频道,#genre#
东莞新闻综合|广东省|东莞|☘️广东频道,#genre#
佛山公共|广东省|佛山|☘️广东频道,#genre#
佛山南海|广东省|佛山|☘️广东频道,#genre#
佛山顺德|广东省|佛山|☘️广东频道,#genre#
佛山综合|广东省|佛山|☘️广东频道,#genre#
广东-4k|广东省|广州|☘️广东频道,#genre#
广东民生|广东省|广州|☘️广东频道,#genre#
广东少儿|广东省|广州|☘️广东频道,#genre#
广东体育|广东省|广州|☘️广东频道,#genre#
广东卫视|广东省|广州|☘️广东频道,#genre#
广东卫视-4k|广东省|广州|☘️广东频道,#genre#
广东新闻|广东省|广州|☘️广东频道,#genre#
广东影视|广东省|广州|☘️广东频道,#genre#
广东珠江|广东省|广州|☘️广东频道,#genre#
广东综艺-4k|广东省|广州|☘️广东频道,#genre#
广州竞赛|广东省|广州|☘️广东频道,#genre#
广州新闻|广东省|广州|☘️广东频道,#genre#
广州综合|广东省|广州|☘️广东频道,#genre#
河源公共|广东省|河源|☘️广东频道,#genre#
河源综合|广东省|河源|☘️广东频道,#genre#
嘉佳卡通|广东省|广州|☘️广东频道,#genre#
江门综合|广东省|江门|☘️广东频道,#genre#
揭阳生活|广东省|揭阳|☘️广东频道,#genre#
揭阳综合|广东省|揭阳|☘️广东频道,#genre#
客家生活|广东省|梅州|☘️广东频道,#genre#
岭南戏曲|广东省|广州|☘️广东频道,#genre#
茂名公共|广东省|茂名|☘️广东频道,#genre#
茂名综合|广东省|茂名|☘️广东频道,#genre#
梅州综合|广东省|梅州|☘️广东频道,#genre#
南方购物-精选|广东省|广州|☘️广东频道,#genre#
清远新闻综合|广东省|清远|☘️广东频道,#genre#
汕头经济生活|广东省|汕头|☘️广东频道,#genre#
汕头综合|广东省|汕头|☘️广东频道,#genre#
汕尾文化生活|广东省|汕尾|☘️广东频道,#genre#
汕尾新闻综合|广东省|汕尾|☘️广东频道,#genre#
韶关新闻综合|广东省|韶关|☘️广东频道,#genre#
深圳财经生活|广东省|深圳|☘️广东频道,#genre#
深圳电视剧频道|广东省|深圳|☘️广东频道,#genre#
深圳都市频道|广东省|深圳|☘️广东频道,#genre#
深圳公共频道|广东省|深圳|☘️广东频道,#genre#
深圳龙岗频道|广东省|深圳|☘️广东频道,#genre#
深圳少儿频道|广东省|深圳|☘️广东频道,#genre#
深圳体育健康|广东省|深圳|☘️广东频道,#genre#
深圳卫视|广东省|深圳|☘️广东频道,#genre#
深圳卫视-4k|广东省|深圳|☘️广东频道,#genre#
深圳宜和购物|广东省|深圳|☘️广东频道,#genre#
阳江-1|广东省|阳江|☘️广东频道,#genre#
阳江-2|广东省|阳江|☘️广东频道,#genre#
云浮文旅|广东省|云浮|☘️广东频道,#genre#
云浮综合|广东省|云浮|☘️广东频道,#genre#
湛江公共|广东省|湛江|☘️广东频道,#genre#
湛江新闻综合|广东省|湛江|☘️广东频道,#genre#
肇庆生活服务|广东省|肇庆|☘️广东频道,#genre#
肇庆综合|广东省|肇庆|☘️广东频道,#genre#
中山公共|广东省|中山|☘️广东频道,#genre#
中山教育|广东省|中山|☘️广东频道,#genre#
中山综合|广东省|中山|☘️广东频道,#genre#
珠海|广东省|珠海|☘️广东频道,#genre#
珠海-1|广东省|珠海|☘️广东频道,#genre#
珠海-2|广东省|珠海|☘️广东频道,#genre#
宾阳综合|广西壮族自治区|南宁|☘️广西频道,#genre#
灌阳新闻综合|广西壮族自治区|桂林|☘️广西频道,#genre#
广西国际|广西壮族自治区|南宁|☘️广西频道,#genre#
广西卫视|广西壮族自治区|南宁|☘️广西频道,#genre#
广西新闻|广西壮族自治区|南宁|☘️广西频道,#genre#
南宁都市生活|广西壮族自治区|南宁|☘️广西频道,#genre#
田东综合|广西壮族自治区|百色|☘️广西频道,#genre#
安顺新闻|贵州省|安顺|☘️贵州频道,#genre#
贵州卫视|贵州省|贵阳|☘️贵州频道,#genre#
海南公共|海南省|海口|☘️海南频道,#genre#
海南少儿|海南省|海口|☘️海南频道,#genre#
海南卫视|海南省|海口|☘️海南频道,#genre#
